School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
KING OPEN SCHOOL,42.3719969,-71.0916277,Public,CAMBRIDGE,Middlesex,97%,97%,98%,97%,97%,95%,1.60%
MARIA L BALDWIN,42.3823462,-71.1166645,Public,CAMBRIDGE,Middlesex,91%,92%,97%,97%,94%,86%,1.00%
MARTIN LUTHER KING JR SCHOOL,42.3669163,-71.1135181,Public,CAMBRIDGE,Middlesex,93%,98%,96%,100%,96%,72%,1.10%
MORSE SCHOOL,42.3559633,-71.1124071,Public,CAMBRIDGE,Middlesex,100%,100%,100%,100%,100%,100%,0%
PEABODY SCHOOL,42.3920909,-71.128184,Public,CAMBRIDGE,Middlesex,88%,99%,99%,99%,99%,88%,0%
SHADY HILL,42.3794111,-71.1086037,Private,CAMBRIDGE,Middlesex,100%,100%,100%,98%,95%,91%,0%
ST PETERS SCHOOL,42.3811188,-71.1295682,Private,CAMBRIDGE,Middlesex,81%,90%,81%,93%,79%,74%,0%
BLUE HILL MONTESSORI SCHOOL,42.1826584,-71.1145486,Private,CANTON,Norfolk,*,*,*,*,*,*,*
CLARKE SCHOOL EAST,42.170938,-71.1060059,Private,CANTON,Norfolk, , , , , , , 
DEAN S LUCE,42.1603866,-71.1330148,Public,CANTON,Norfolk,99%,100%,100%,99%,100%,97%,1.10%
JOHN F KENNEDY,42.1752436,-71.1425876,Public,CANTON,Norfolk,97%,97%,95%,97%,95%,95%,4.80%
JUDGE ROTENBERG SCHOOL,42.1584324,-71.1447732,Private,CANTON,Norfolk,*,*,*,*,*,*,*
LT PETER M HANSEN SCHOOL,42.1833533,-71.1289722,Public,CANTON,Norfolk,100%,98%,100%,100%,100%,100%,0%
ST JOHN THE EVANGELIST,42.1584324,-71.1447732,Private,CANTON,Norfolk, , , , , , , 
CARLISLE SCHOOL,42.52644,-71.3490047,Public,CARLISLE,Middlesex,96%,96%,96%,98%,96%,96%,1.90%
CARVER ELEMENTARY,41.8914421,-70.7745317,Public,CARVER,Plymouth,98%,98%,99%,99%,98%,98%,0.80%
CENTERVILLE ELEMENTARY,41.646175,-70.353557,Public,CENTERVILLE,Barnstable,97%,100%,97%,100%,97%,96%,2.70%
HAWLEMONT REGIONAL,42.6273064,-72.873985,Public,CHARLEMONT,Franklin, , , , , , , 
HEATH ELEMENTARY,42.7041032,-72.8314694,Public,CHARLEMONT,Franklin, , , , , , , 
HARVARD-KENT SCHOOL,42.3765831,-71.0578957,Public,CHARLESTOWN,Suffolk,3%,81%,75%,98%,68%,3%,0%
WARREN PRESCOTT,42.3779169,-71.0645135,Public,CHARLESTOWN,Suffolk,79%,81%,86%,100%,83%,70%,0%
CHARLTON ELEMENTARY SCHOOL,42.1321725,-71.9711689,Public,CHARLTON,Worcester,99%,100%,99%,99%,99%,98%,1.40%
CHATHAM ELEMENTARY,41.6864253,-69.9616363,Public,CHATHAM,Barnstable,84%,90%,86%,88%,84%,82%,12.00%
BYAM SCHOOL,42.5728258,-71.3823313,Public,CHELMSFORD,Middlesex,96%,99%,97%,99%,99%,97%,2.60%
CENTER ELEMENTARY,42.6003543,-71.3434814,Public,CHELMSFORD,Middlesex,99%,97%,99%,99%,99%,97%,1.40%
MURPHY & DWYER ACADEMY,42.5758755,-71.3479121,Private,CHELMSFORD,Middlesex,*,*,*,*,*,*,*
SOUTH ROW SCHOOL,42.5773859,-71.3355578,Public,CHELMSFORD,Middlesex,100%,100%,100%,100%,100%,100%,0%
SHORE EDUCATIONAL COLLABORATIVE,42.3917638,-71.0328284,Private,CHELSEA,Suffolk, , , , , , , 
SHURTLEFF EARLY CHILDHOOD,42.3899,-71.0354,Public,CHELSEA,Suffolk,98%,98%,100%,100%,100%,98%,0%
ST ROSE ELEMENTARY,42.3917638,-71.0328284,Private,CHELSEA,Suffolk, , , , , , , 
CHESHIRE ELEMENTARY,42.5636944,-73.1584364,Public,CHESHIRE,Berkshire,88%,94%,94%,97%,97%,85%,0%
CHESTER ELEMENTARY,42.301134,-72.984098,Public,CHESTER,Hampden, , , , , , , 
NEW HINGHAM REG ELEMENTARY,42.4031009,-72.8481979,Public,CHESTERFIELD,Hampshire, , , , , , , 
B C CAMPUS DAY SCHOOL,42.3303798,-71.166187,Private,CHESTNUT HILL,Middlesex, , , , , , , 
CHESTNUT HILL SCHOOL,42.3286189,-71.1650322,Private,CHESTNUT HILL,Middlesex,97%,97%,97%,100%,97%,94%,2.80%
MT ALVERNIA ACADEMY,42.3384541,-71.1737646,Private,CHESTNUT HILL,Middlesex,93%,100%,97%,97%,97%,83%,3.30%
ANNA E BARRY,42.1662428,-72.5878661,Public,CHICOPEE,Hampden,100%,100%,100%,100%,100%,100%,0%
BELCHER SCHOOL,42.1542599,-72.5759219,Public,CHICOPEE,Hampden,92%,93%,92%,99%,92%,92%,0%
BOWIE MEMORIAL SCHOOL,42.1978307,-72.5588114,Public,CHICOPEE,Hampden,82%,93%,93%,93%,93%,91%,0%
JOHN J STEFANIK SCHOOL,42.1487043,-72.6078672,Public,CHICOPEE,Hampden,93%,96%,96%,97%,93%,87%,0%
LAMBERT-LAVOIE,42.1762198,-72.5953554,Public,CHICOPEE,Hampden,98%,98%,98%,100%,98%,98%,0%
LITWIN SCHOOL,42.1748101,-72.5240316,Public,CHICOPEE,Hampden, , , , , , , 
PATRICK E BOWE,42.140567,-72.6085584,Public,CHICOPEE,Hampden,86%,93%,86%,100%,86%,86%,0%
SELSER MEMORIAL SCHOOL,42.1487043,-72.6078672,Public,CHICOPEE,Hampden,100%,100%,100%,100%,100%,100%,0%
ST JOAN OF ARC SCHOOL,42.1707531,-72.5975315,Private,CHICOPEE,Hampden, , , , , , , 
ST STANISLAUS,42.1468313,-72.5950694,Private,CHICOPEE,Hampden,*,*,*,*,*,*,*
STREIBER MEMORIAL,42.1945509,-72.5783757,Public,CHICOPEE,Hampden,100%,98%,100%,98%,98%,98%,0%
CHILMARK ELEMENTARY,41.34169,-70.743713,Public,CHILMARK,Dukes, , , , , , , 
CLARKSBURG ELEMENTARY,42.7207713,-73.0999303,Public,CLARKSBURG,Berkshire, , , , , , , 
CLINTON ELEMENTARY,42.4185291,-71.6864436,Public,CLINTON,Worcester,99%,100%,100%,100%,100%,99%,0%
JOSEPH OSGOOD,42.242323,-70.8092101,Public,COHASSET,Norfolk,98%,98%,100%,99%,100%,95%,2.00%
COLRAIN CENTRAL,42.675501,-72.697485,Public,COLRAIN,Franklin, , , , , , , 
ALCOTT,42.4532857,-71.3462004,Public,CONCORD,Middlesex,97%,97%,97%,95%,96%,93%,1.30%
