School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
INDIAN ORCHARD ELEMENTARY,42.1549991,-72.4939163,Public,INDIAN ORCHARD,Hampden,92%,93%,91%,100%,93%,91%,0%
CUVILLY ARTS & EARTH CENTER,42.6791832,-70.8411558,Private,IPSWICH,Essex, , , , , , , 
PAUL DOYON ELEMENTARY,42.6791832,-70.8411558,Public,IPSWICH,Essex,97%,95%,95%,97%,95%,95%,6.90%
WINTHROP ELEMENTARY,42.6818022,-70.8393172,Public,IPSWICH,Essex,81%,87%,83%,90%,75%,73%,0%
BOSTON TEACHERS UNION SCHOOL,42.2946217,-71.1159852,Public,JAMAICA PLAIN,Suffolk,*,*,*,*,*,*,*
BRITISH SCHOOL OF BOSTON,42.3094526,-71.1301196,Private,JAMAICA PLAIN,Suffolk, , , , , , , 
CURLEY K-8 SCHOOL,42.3185557,-71.1132315,Public,JAMAICA PLAIN,Suffolk,33%,47%,39%,65%,37%,33%,0.70%
EARLY LEARNING CENTER - WEST ZONE,42.3097365,-71.1151431,Public,JAMAICA PLAIN,Suffolk,94%,92%,92%,89%,92%,89%,0%
ITALIAN HOME FOR CHILDREN,42.3023342,-71.1266045,Private,JAMAICA PLAIN,Suffolk, , , , , , , 
J.F. KENNEDY,42.3219427,-71.1057648,Public,JAMAICA PLAIN,Suffolk,90%,92%,92%,100%,92%,87%,0%
JAMES HENNIGAN,42.325931,-71.1067185,Public,JAMAICA PLAIN,Suffolk,80%,80%,76%,83%,89%,76%,2.20%
JOSEPH P. MANNING,42.3055578,-71.1314643,Public,JAMAICA PLAIN,Suffolk, , , , , , , 
MATCH COMMUNITY CHARTER SCHOOL,42.3097365,-71.1151431,Public,JAMAICA PLAIN,Suffolk,*,*,*,*,*,*,*
MISSION HILL SCHOOL,42.3072595,-71.114297,Public,JAMAICA PLAIN,Suffolk, , , , , , , 
NEIGHBORHOOD SCHOOL,42.3108999,-71.1007,Private,JAMAICA PLAIN,Suffolk, , , , , , , 
KINGSTON ELEMENTARY,41.9851033,-70.7203169,Public,KINGSTON,Plymouth,99%,100%,98%,98%,98%,97%,1.60%
SACRED HEART ELEMENTARY,41.9518757,-70.7365244,Private,KINGSTON,Plymouth,94%,94%,94%,94%,100%,94%,5.70%
ASSAWOMPSET SCHOOL,41.8475675,-70.9470105,Public,LAKEVILLE,Plymouth,99%,98%,99%,99%,99%,99%,1.10%
MULLEIN HILL CHRISTIAN ACADEMY,41.8577947,-70.9313554,Private,LAKEVILLE,Plymouth, , , , , , , 
DR FRANKLIN PERKINS SCHOOL,42.4621694,-71.6720133,Private,LANCASTER,Worcester, , , , , , , 
MARY ROWLANDSON SCHOOL,42.4683348,-71.6756095,Public,LANCASTER,Worcester,97%,100%,100%,96%,99%,92%,4.10%
LANESBOROUGH ELEMENTARY,42.5140385,-73.2207325,Public,LANESBOROUGH,Berkshire, , , , , , , 
COMMUNITY DAY ARLINGTON SCHOOL,42.7172958,-71.1740356,Public,LAWRENCE,Essex,91%,98%,99%,98%,95%,85%,0%
COMMUNITY DAY CHARTER SCHOOL - GATEWAY,42.7070354,-71.1631137,Public,LAWRENCE,Essex,98%,100%,100%,100%,100%,98%,0%
COMMUNITY DAY CHARTER SCHOOL - PROSPECT,42.7094986,-71.1677022,Public,LAWRENCE,Essex,95%,98%,98%,100%,93%,90%,0%
COMMUNITY DAY CHARTER SCHOOL - WEBSTER,42.7070354,-71.1631137,Public,LAWRENCE,Essex,98%,100%,100%,100%,100%,98%,0%
COMMUNITY DAY LEARNING CTR,42.6910308,-71.1452017,Private,LAWRENCE,Essex,100%,100%,100%,100%,100%,100%,0%
EDWARD F PARTHUM SCHOOL,42.718558,-71.1432788,Public,LAWRENCE,Essex,93%,100%,100%,99%,99%,93%,1.50%
EMILY G WETHERBEE SCHOOL,42.7070354,-71.1631137,Public,LAWRENCE,Essex,97%,100%,100%,100%,98%,97%,0%
FRANCIS M LEAHY,42.7146346,-71.1614877,Public,LAWRENCE,Essex,86%,95%,99%,98%,97%,83%,0%
G.L.C.A.C. CHILD CARE CENTER,42.6900063,-71.1721127,Private,LAWRENCE,Essex, , , , , , , 
HENNESSEY,42.6970133,-71.1770135,Public,LAWRENCE,Essex,93%,99%,98%,97%,95%,91%,1.00%
JOHN BREEN SCHOOL,42.7070354,-71.1631137,Public,LAWRENCE,Essex,99%,100%,100%,100%,98%,98%,0%
LAWLOR EARLY CHILDHOOD CTR,42.7070354,-71.1631137,Public,LAWRENCE,Essex,95%,99%,99%,100%,99%,94%,0.60%
LAWRENCE CATHOLIC ACADEMY,42.6977481,-71.1594252,Private,LAWRENCE,Essex,70%,70%,81%,77%,81%,86%,0%
LAWRENCE FAMILY DEVELOP CHARTER SCH,42.7087168,-71.17375,Public,LAWRENCE,Essex,100%,100%,100%,100%,100%,100%,0%
LAWRENCE FAMILY PUBLIC ACADEMY,42.7007246,-71.1828554,Public,LAWRENCE,Essex,96%,97%,99%,100%,100%,96%,0%
ROBERT FROST SCHOOL,42.6848977,-71.1678028,Public,LAWRENCE,Essex,94%,100%,99%,100%,98%,97%,0%
ROLLINS EARLY CHILDHOOD CTR,42.7140441,-71.1485391,Public,LAWRENCE,Essex,97%,98%,100%,99%,99%,96%,0%
LEE ELEMENTARY,42.3061021,-73.2361078,Public,LEE,Berkshire,100%,100%,100%,100%,100%,100%,0%
ST MARY SCHOOL,42.3070314,-73.242606,Private,LEE,Berkshire, , , , , , , 
LEEDS ELEMENTARY,42.3519041,-72.6984349,Public,LEEDS,Hampshire,100%,96%,100%,100%,100%,96%,0%
LEICESTER PRIMARY SCHOOL,42.2538098,-71.9070424,Public,LEICESTER,Worcester,96%,100%,100%,100%,98%,95%,2.00%
MCAULEY NAZARETH SCHOOL,42.245926,-71.9086843,Private,LEICESTER,Worcester, , , , , , , 
BERKSHIRE CHRISTIAN SCHOOL,42.337802,-73.282819,Private,LENOX,Berkshire, , , , , , , 
BERKSHIRE COUNTRY DAY SCHOOL,42.345897,-73.326015,Private,LENOX,Berkshire, , , , , , , 
MONTESSORI SCHOOL OF THE BERKSHIRES,42.3329647,-73.2517851,Private,LENOX,Berkshire,*,*,*,*,*,*,*
MORRIS ELEMENTARY,42.355379,-73.297439,Public,LENOX,Berkshire,95%,95%,95%,95%,95%,95%,4.90%
FALL BROOK SCHOOL,42.495517,-71.7680784,Public,LEOMINSTER,Worcester,86%,91%,95%,99%,94%,88%,1.20%
JOHNNY APPLESEED SCHOOL,42.5517996,-71.7397629,Public,LEOMINSTER,Worcester,94%,96%,99%,100%,100%,90%,0%
NORTHWEST ELEMENTARY,42.5367837,-71.7653679,Public,LEOMINSTER,Worcester,98%,100%,98%,100%,98%,98%,0%
PRIEST STREET,42.537313,-71.752864,Public,LEOMINSTER,Worcester,92%,92%,93%,97%,93%,91%,0.70%
SOUTHEAST SCHOOL,42.5187701,-71.7445529,Public,LEOMINSTER,Worcester,64%,70%,73%,70%,73%,64%,0.90%
ST ANNA SCHOOL,42.5178848,-71.7524451,Private,LEOMINSTER,Worcester, , , , , , , 
ST LEO SCHOOL,42.5298811,-71.7573917,Private,LEOMINSTER,Worcester,56%,74%,76%,100%,76%,56%,0%
LEVERETT ELEMENTARY,42.4631442,-72.4967537,Public,LEVERETT,Franklin, , , , , , , 
ARMENIAN SISTERS,42.4376,-71.2178,Private,LEXINGTON,Middlesex, , , , , , , 
BOWMAN,42.4164102,-71.2016591,Public,LEXINGTON,Middlesex,98%,98%,99%,99%,99%,94%,1.10%
BRIDGE,42.4339432,-71.2380741,Public,LEXINGTON,Middlesex,97%,96%,99%,97%,100%,92%,0%
COTTING SCHOOL,42.4200197,-71.2375974,Private,LEXINGTON,Middlesex, , , , , , , 
FISKE SCHOOL,42.4584944,-71.2202099,Public,LEXINGTON,Middlesex,93%,99%,93%,99%,96%,90%,1.40%
HARRINGTON ELEMENTARY,42.445824,-71.1993751,Public,LEXINGTON,Middlesex,92%,95%,95%,100%,97%,87%,1.60%
JOSEPH ESTABROOK SCHOOL,42.4778724,-71.2375564,Public,LEXINGTON,Middlesex,100%,100%,100%,100%,100%,98%,0%
LEXINGTON MONTESSORI,42.4176,-71.2153,Private,LEXINGTON,Middlesex, , , , , , , 
MARIA HASTINGS SCHOOL,42.4454344,-71.2533613,Public,LEXINGTON,Middlesex,93%,95%,97%,97%,95%,93%,3.40%
WALDORF SCHOOL,42.4297465,-71.2058902,Private,LEXINGTON,Middlesex, , , , , , , 
PEARL RHODES ELEMENTARY,42.691411,-72.6277172,Public,LEYDEN,Franklin, , , , , , , 
BIRCHES SCHOOL,42.4278195,-71.3031264,Private,LINCOLN,Middlesex, , , , , , , 
HANSCOM PRIMARY,42.4572362,-71.277044,Public,LINCOLN,Middlesex,94%,97%,97%,97%,96%,94%,4.30%
LINCOLN SCHOOL,42.4241832,-71.3155996,Public,LINCOLN,Middlesex,94%,91%,97%,94%,94%,88%,4.60%
OAK MEADOW MONTESSORI,42.5372893,-71.5128022,Private,LITTLETON,Middlesex, , , , , , , 
SHAKER LANE,42.531789,-71.455266,Public,LITTLETON,Middlesex,99%,100%,100%,100%,100%,98%,0.90%
BLUEBERRY HILL,42.0593165,-72.5597582,Public,LONGMEADOW,Hampden,95%,96%,98%,96%,98%,95%,1.80%
CENTER SCHOOL,42.0484971,-72.581858,Public,LONGMEADOW,Hampden,98%,98%,98%,98%,100%,98%,2.00%
HERITAGE ACADEMY,42.0669272,-72.5574733,Private,LONGMEADOW,Hampden, , , , , , , 
LONGMEADOW MONTESSORI,42.0521276,-72.5826098,Private,LONGMEADOW,Hampden,69%,88%,83%,93%,83%,64%,2.40%
ST MARYS,42.056789,-72.578764,Private,LONGMEADOW,Hampden, , , , , , , 
WILLIE ROSS SCHOOL,42.0309852,-72.5782385,Private,LONGMEADOW,Hampden, , , , , , , 
WOLF SWAMP ROAD SCHOOL,42.0381512,-72.5603654,Public,LONGMEADOW,Hampden,98%,100%,100%,100%,100%,98%,0%
YESHIVA ACADEMY,42.0501022,-72.5828642,Private,LONGMEADOW,Hampden, , , , , , , 
BARTLETT COMMUNITY PARTNERSHIP,42.6454124,-71.328907,Public,LOWELL,Middlesex,96%,100%,100%,96%,96%,92%,0%
CHARLES W. MOREY ELEMENTRY,42.6334247,-71.3161718,Public,LOWELL,Middlesex,98%,99%,99%,99%,99%,98%,1.00%
CHARLOTTE M MURKLAND ELEMENTARY,42.6466504,-71.3210608,Public,LOWELL,Middlesex,98%,100%,100%,100%,100%,98%,0%
CHRISTA MCAULIFFE ELEMENTARY,42.6601587,-71.3025012,Public,LOWELL,Middlesex,100%,100%,99%,100%,99%,99%,1.00%
COMMUNITY CHRISTIAN ACADEMY,42.6355758,-71.335221,Private,LOWELL,Middlesex, , , , , , , 
DR GERTRUDE BAILEY,42.6228004,-71.335055,Public,LOWELL,Middlesex,99%,99%,99%,100%,99%,99%,1.00%
FRANCO AMERICAN SCHOOL,42.6487247,-71.3287659,Private,LOWELL,Middlesex, , , , , , , 
GREENHALGE,42.6574025,-71.3092188,Public,LOWELL,Middlesex,100%,99%,100%,100%,100%,99%,0%
HELLENIC AMERICAN ACADEMY,42.6443375,-71.3158091,Private,LOWELL,Middlesex, , , , , , , 
IMMACULATE CONCEPTION,42.6446472,-71.3013685,Private,LOWELL,Middlesex,98%,99%,98%,99%,98%,97%,1.10%
J G PYNE ARTS MAGNET SCHOOL,42.6334247,-71.3161718,Public,LOWELL,Middlesex,96%,100%,100%,100%,100%,96%,0%
JOSEPH MCAVINNUE ELEMENTARY,42.6334247,-71.3161718,Public,LOWELL,Middlesex,96%,99%,100%,99%,100%,96%,0%
LINCOLN SCHOOL,42.6303715,-71.3202892,Public,LOWELL,Middlesex,95%,100%,98%,99%,100%,95%,0%
LOWELL COLLEGIATE CHARTER SCHOOL,42.646972,-71.3220563,Public,LOWELL,Middlesex,98%,100%,98%,98%,96%,96%,0%
LOWELL COMMUNITY CHARTER SCHOOL,42.6413523,-71.3121558,Public,LOWELL,Middlesex,93%,97%,100%,99%,100%,99%,0%
LOWELL DAY NURSERY,42.6514949,-71.3165642,Private,LOWELL,Middlesex, , , , , , , 
MOODY SCHOOL,42.6368995,-71.2973407,Public,LOWELL,Middlesex,88%,92%,100%,96%,98%,82%,0%
PAWTUCKETVILLE MEMORIAL,42.647669,-71.3504261,Public,LOWELL,Middlesex,95%,98%,99%,99%,99%,94%,1.00%
PETER W REILLY,42.6409152,-71.2800231,Public,LOWELL,Middlesex,87%,98%,100%,98%,96%,79%,0%
ROGERS EARLY LEARNING CENTER,42.6334247,-71.3161718,Public,LOWELL,Middlesex,80%,91%,88%,95%,86%,55%,0%
SHAUGHNESSY,42.6160705,-71.3030786,Public,LOWELL,Middlesex,96%,99%,99%,100%,99%,96%,0%
ST LOUIS ELEMENTARY,42.6563702,-71.3089916,Private,LOWELL,Middlesex,72%,91%,81%,97%,59%,50%,3.10%
ST MARGARET ELEMENTARY,42.626581,-71.331831,Private,LOWELL,Middlesex, , , , , , , 
ST MICHAEL ELEMENTARY,42.6515149,-71.3019694,Private,LOWELL,Middlesex,68%,79%,82%,92%,79%,68%,0%
ST PATRICK,42.6464022,-71.3191039,Private,LOWELL,Middlesex,*,*,*,*,*,*,*
STE JEANNE D'ARC SCHOOL,42.6567464,-71.3305721,Private,LOWELL,Middlesex,100%,100%,100%,100%,100%,100%,0%
WASHINGTON SCHOOL,42.6240016,-71.3285218,Public,LOWELL,Middlesex,100%,100%,100%,100%,100%,100%,0%
EAST ST ELEMENTARY,42.1600936,-72.475919,Public,LUDLOW,Hampden,99%,99%,99%,99%,99%,97%,2.50%
ST JOHN THE BAPTIST SCHOOL,42.1594448,-72.4762058,Private,LUDLOW,Hampden, , , , , , , 
LUNENBURG PRIMARY SCHOOL,42.6003275,-71.7012839,Public,LUNENBURG,Worcester,97%,95%,98%,96%,97%,95%,2.70%
TWIN CITY CHRISTIAN SCHOOL,42.5855969,-71.7533627,Private,LUNENBURG,Worcester, , , , , , , 
A DREWICZ ELEMENTARY,42.4606105,-70.9693192,Public,LYNN,Essex,93%,97%,97%,94%,96%,89%,0%
ABORN ELEMENTARY,42.4792001,-70.9331225,Public,LYNN,Essex,100%,100%,100%,100%,100%,100%,0%
CALLAHAN SCHOOL,42.4675036,-70.9846519,Public,LYNN,Essex,97%,98%,98%,97%,98%,95%,1.60%
CAPT WM SHOEMAKER SCHOOL,42.5048176,-70.9836619,Public,LYNN,Essex,100%,100%,100%,100%,100%,100%,0%
CATHOLIC CHARITIES DAY CARE CTR,42.466763,-70.9494938,Private,LYNN,Essex, , , , , , , 
COBBET ELEMENTARY,42.4648429,-70.9550021,Public,LYNN,Essex,79%,86%,82%,96%,80%,76%,0%
E J HARRINGTON,42.4376913,-70.9691161,Public,LYNN,Essex,95%,96%,97%,98%,99%,95%,0%
EARLY CHILDHOOD CENTER,42.466763,-70.9494938,Public,LYNN,Essex,94%,95%,93%,98%,91%,86%,0%
FALLON SCHOOL,42.4687657,-70.9706009,Public,LYNN,Essex, , , , , , , 
GREGG HOUSE,42.4776331,-70.9382579,Private,LYNN,Essex, , , , , , , 
HATHAWAY SCHOOL,42.484204,-70.9582125,Private,LYNN,Essex, , , , , , , 
HOOD SCHOOL,42.466763,-70.9494938,Public,LYNN,Essex,95%,98%,99%,100%,99%,97%,1.20%
INGALLS SCHOOL,42.4716912,-70.936515,Public,LYNN,Essex,89%,94%,92%,98%,80%,80%,0%
LINCOLN-THOMSON,42.4678819,-70.9770713,Public,LYNN,Essex,98%,100%,98%,98%,98%,96%,0%
LITTLE THEATRE NURSERY & KINDERG,42.466763,-70.9494938,Private,LYNN,Essex, , , , , , , 
LYNN WOODS SCHOOL,42.466763,-70.9494938,Public,LYNN,Essex, , , , , , , 
NORTH SHORE CHRISTIAN SCHOOL,42.4883,-70.9536,Private,LYNN,Essex, , , , , , , 
SACRED HEART ELEMENTARY,42.4681518,-70.9703277,Private,LYNN,Essex,94%,100%,97%,97%,97%,94%,0%
SEWELL-ANDERSON,42.466763,-70.9494938,Public,LYNN,Essex,98%,100%,100%,100%,100%,98%,0%
SISSON,42.472523,-70.9362063,Public,LYNN,Essex,96%,100%,99%,100%,97%,93%,2.90%
ST PIUS V,42.4798755,-70.9493922,Private,LYNN,Essex,89%,94%,89%,100%,92%,89%,0%
WASHINGTON ELEMENTARY,42.4612074,-70.9536606,Public,LYNN,Essex,88%,96%,97%,99%,86%,82%,0%
WM P CONNERY,42.466763,-70.9494938,Public,LYNN,Essex,96%,98%,99%,98%,95%,91%,1.00%
HUCKLEBERRY HILL,42.522595,-71.0225521,Public,LYNNFIELD,Essex,99%,97%,99%,100%,99%,97%,1.30%
OUR LADY OF ASSUMPTION,42.5152092,-71.0057382,Private,LYNNFIELD,Essex, , , , , , , 
SUMMER STREET,42.5277774,-71.030272,Public,LYNNFIELD,Essex,100%,100%,100%,100%,100%,99%,0%
BEEBE SCHOOL,42.4271649,-71.0794857,Public,MALDEN,Middlesex,97%,100%,100%,100%,100%,97%,0%
CHEVERUS ELEMENTARY,42.4250964,-71.066163,Private,MALDEN,Middlesex,100%,100%,100%,100%,100%,100%,0%
FERRYWAY SCHOOL,42.4214157,-71.0595501,Public,MALDEN,Middlesex,99%,100%,100%,100%,100%,99%,0%
FORESTDALE SCHOOL,42.4403993,-71.0537406,Public,MALDEN,Middlesex,69%,91%,97%,99%,96%,96%,0%
LINDEN,42.433746,-71.0347871,Public,MALDEN,Middlesex,95%,98%,96%,99%,95%,92%,0%
MYSTIC VALLEY REG CHARTER SCHOOL,42.4344016,-71.0455391,Public,MALDEN,Middlesex,98%,98%,98%,98%,98%,98%,2.30%
ROCKLAND MONTESSORI ACADEMY,42.4286167,-71.0786639,Private,MALDEN,Middlesex, , , , , , , 
SALEMWOOD SCHOOL,42.4316,-71.0502999,Public,MALDEN,Middlesex,90%,88%,100%,100%,100%,90%,0%
BROOKWOOD SCHOOL,42.572336,-70.796751,Private,MANCHESTER,Essex,94%,97%,97%,97%,94%,94%,3.00%
MANCHESTER MEMORIAL SCHOOL,42.5790534,-70.7641867,Public,MANCHESTER,Essex,95%,98%,98%,95%,95%,89%,2.30%
EVERETT W ROBINSON SCHOOL,42.0334565,-71.2190578,Public,MANSFIELD,Bristol,97%,99%,100%,99%,99%,97%,0.40%
HANDS ON MONTESSORI SCHOOL,42.0291305,-71.2273109,Private,MANSFIELD,Bristol, , , , , , , 
ST MARYS,42.031737,-71.1892839,Private,MANSFIELD,Bristol, , , , , , , 
BELL SCHOOL,42.4969578,-70.8708457,Public,MARBLEHEAD,Essex,96%,99%,100%,100%,100%,95%,0%
COHEN HILLEL ACADEMY,42.4851023,-70.8751707,Private,MARBLEHEAD,Essex, , , , , , , 
DEVEREUX SCHOOL,42.4941423,-70.8667569,Private,MARBLEHEAD,Essex, , , , , , , 
GERRY SCHOOL,42.5064797,-70.8501688,Public,MARBLEHEAD,Essex,99%,100%,99%,100%,97%,97%,4.30%
GLOVER SCHOOL,42.4905117,-70.8795535,Public,MARBLEHEAD,Essex,95%,96%,95%,100%,96%,93%,5.50%
TOWER SCHOOL,42.4972753,-70.8738361,Private,MARBLEHEAD,Essex, , , , , , , 
SIPPICAN SCHOOL,41.7040442,-70.767648,Public,MARION,Plymouth,96%,93%,96%,96%,96%,91%,4.40%
CHARLES JAWOREK SCHOOL,42.3658322,-71.5318107,Public,MARLBORO,Middlesex,99%,100%,99%,100%,100%,97%,0.60%
FRANCIS J KANE SCHOOL,42.3430107,-71.5202162,Public,MARLBORO,Middlesex,99%,99%,98%,98%,99%,93%,3.10%
IMMACULATE CONCEPTION,42.347628,-71.5499736,Private,MARLBORO,Middlesex, , , , , , , 
RICHER SCHOOL,42.3383203,-71.5784436,Public,MARLBORO,Middlesex,98%,99%,98%,99%,98%,95%,0%
DANIEL WEBSTER,42.096407,-70.6870056,Public,MARSHFIELD,Plymouth,96%,98%,98%,98%,98%,96%,2.10%
EAMES WAY SCHOOL,42.1320893,-70.7286381,Public,MARSHFIELD,Plymouth,100%,100%,100%,100%,100%,100%,0%
GOV EDWARD WINSLOW SCHOOL,42.0704228,-70.66962,Public,MARSHFIELD,Plymouth,100%,100%,100%,100%,100%,100%,0%
MARTINSON ELEMENTARY SCHOOL,42.1112132,-70.7403176,Public,MARSHFIELD,Plymouth,99%,99%,99%,97%,97%,96%,3.00%
SOUTH RIVER,42.0945466,-70.7153166,Public,MARSHFIELD,Plymouth,100%,100%,100%,100%,100%,100%,0%
WEST VILLAGES ELEMENTARY SCHOOL,41.6626884,-70.3872852,Public,MARSTONS MILLS,Barnstable,96%,96%,97%,96%,96%,96%,3.70%
K C COOMBS SCHOOL,41.6202096,-70.4930767,Public,MASHPEE,Barnstable,98%,98%,98%,98%,98%,98%,1.80%
BEREA SDA ACADEMY,42.2826323,-71.0878192,Private,MATTAPAN,Suffolk, , , , , , , 
CHARLES TAYLOR ELEM SCHOOL,42.2771417,-71.0913748,Public,MATTAPAN,Suffolk,57%,62%,61%,79%,83%,68%,0%
EDWARD BROOKE CHARTER SCHOOL 2,42.2818841,-71.1218834,Public,MATTAPAN,Suffolk,92%,95%,98%,98%,98%,88%,0%
ELLISON/PARKS EARLY EDUCATION SCHOOL,42.2717653,-71.0916852,Public,MATTAPAN,Suffolk,49%,62%,44%,100%,53%,51%,0%
JAMES CHITTICK,42.2675986,-71.1044958,Public,MATTAPAN,Suffolk,76%,73%,73%,81%,73%,73%,0%
MATTAHUNT,42.2757242,-71.1035763,Public,MATTAPAN,Suffolk,27%,29%,26%,47%,26%,21%,0%
POPE JOHN PAUL II (MATTAPAN CAMPUS],42.2771417,-71.0913748,Private,MATTAPAN,Suffolk,80%,77%,89%,94%,94%,83%,0%
YOUNG ACHIEVERS SCIENCE & MATH SCH,42.2771417,-71.0913748,Public,MATTAPAN,Suffolk,75%,80%,82%,91%,82%,80%,2.30%
CENTER SCHOOL,41.6599384,-70.8130887,Public,MATTAPOISETT,Plymouth,95%,98%,98%,100%,100%,93%,1.80%
GREEN MEADOW SCHOOL,42.4250251,-71.4560604,Public,MAYNARD,Middlesex,91%,96%,97%,95%,97%,91%,5.30%
IMAGO SCHOOL,42.4279731,-71.4597143,Private,MAYNARD,Middlesex, , , , , , , 
MEMORIAL SCHOOL,42.1943224,-71.3124938,Public,MEDFIELD,Norfolk,99%,99%,99%,99%,99%,99%,1.30%
BROOKS SCHOOL,42.4212385,-71.1280899,Public,MEDFORD,Middlesex,96%,95%,96%,96%,98%,96%,2.50%
CHRISTOPHER COLUMBUS SCHOOL,42.4015182,-71.1019692,Public,MEDFORD,Middlesex,99%,100%,99%,99%,99%,96%,1.40%
ELIOT-PEARSON CHILDREN SCHOOL,42.4102821,-71.1143805,Private,MEDFORD,Middlesex, , , , , , , 
JOHN J MCGLYNN,42.4118332,-71.098312,Public,MEDFORD,Middlesex,100%,100%,100%,99%,100%,99%,0%
ROBERTS SCHOOL,42.4219629,-71.0993846,Public,MEDFORD,Middlesex,96%,97%,96%,97%,96%,94%,3.20%
ST CLEMENT ELEMENTARY,42.4032601,-71.1143347,Private,MEDFORD,Middlesex, , , , , , , 
ST JOSEPH ELEMENTARY,42.4194712,-71.1141083,Private,MEDFORD,Middlesex,49%,65%,51%,56%,49%,47%,1.80%
ST RAPHAEL SCHOOL,42.4210757,-71.1349096,Private,MEDFORD,Middlesex, , , , , , , 
JOHN D MCGOVERN SCHOOL,42.1548194,-71.4131151,Public,MEDWAY,Norfolk,94%,96%,96%,96%,96%,92%,4.30%
HERBERT CLARK HOOVER,42.4495405,-71.0503295,Public,MELROSE,Middlesex,100%,100%,100%,100%,100%,100%,0%
HORACE MANN,42.4714751,-71.0542339,Public,MELROSE,Middlesex,98%,98%,98%,100%,98%,95%,2.30%
LINCOLN ELEMENTARY,42.4528063,-71.0720047,Public,MELROSE,Middlesex,97%,99%,99%,100%,99%,97%,1.50%
MELROSE MONTESSORI SCHOOL,42.4587313,-71.0665953,Private,MELROSE,Middlesex, , , , , , , 
ROOSEVELT,42.4656513,-71.071719,Public,MELROSE,Middlesex,97%,98%,98%,97%,97%,97%,1.60%
ST MARY ELEMENTARY,42.4532341,-71.0681571,Private,MELROSE,Middlesex,91%,94%,94%,100%,94%,91%,5.70%
WINTHROP,42.4578738,-71.0519963,Public,MELROSE,Middlesex,98%,98%,98%,98%,98%,98%,1.60%
BETHANY CHRISTIAN ACADEMY,42.1002159,-71.5043583,Private,MENDON,Worcester, , , , , , , 
HENRY P CLOUGH SCHOOL,42.1092237,-71.5559894,Public,MENDON,Worcester,97%,100%,99%,99%,99%,96%,2.80%
DR FREDERICK N SWEETSIR,42.8414787,-71.0120011,Public,MERRIMAC,Essex,95%,95%,95%,95%,95%,95%,4.80%
COMPREHENSIVE GRAMMAR SCHOOL,42.7475361,-71.1757528,Public,METHUEN,Essex,96%,99%,99%,99%,98%,95%,0%
DONALD P TIMONY GRAMMAR SCHOOL,42.7262016,-71.1908924,Public,METHUEN,Essex,97%,98%,98%,98%,98%,97%,0%
FELLOWSHIP CHRISTIAN ACADEMY,42.7427,-71.2238986,Private,METHUEN,Essex, , , , , , , 
MARSH GRAMMAR SCHOOL,42.7291274,-71.232647,Public,METHUEN,Essex,99%,100%,100%,100%,100%,99%,0%
ST ANNS SCHOOL,42.70342,-71.196924,Private,METHUEN,Essex, , , , , , , 
ST MONICA ELEMENTARY,42.7264794,-71.1833922,Private,METHUEN,Essex,*,*,*,*,*,*,*
TENNEY GRAMMAR SCHOOL,42.7321287,-71.1774121,Public,METHUEN,Essex,97%,98%,98%,98%,98%,97%,1.60%
THE ISLAMIC ACADEMY,42.72,-71.1925,Private,METHUEN,Essex, , , , , , , 
MEMORIAL EARLY CHILDHOOD CTR,41.8952338,-70.9059019,Public,MIDDLEBORO,Plymouth,98%,100%,100%,100%,100%,98%,0%
SAMUEL FULLER SCHOOL,41.908676,-70.883938,Private,MIDDLEBORO,Plymouth,*,*,*,*,*,*,*
FULLER MEADOW SCHOOL,42.5845385,-71.0092194,Public,MIDDLETON,Essex,97%,99%,99%,99%,99%,97%,1.30%
KNOWLEDGE ACADEMY,42.6159498,-71.0451245,Private,MIDDLETON,Essex, , , , , , , 
BROOKSIDE ELEMENTARY,42.1499526,-71.5294597,Public,MILFORD,Worcester,98%,100%,99%,100%,99%,95%,0%
MEMORIAL ELEMENTARY,42.145144,-71.5211959,Public,MILFORD,Worcester,96%,97%,97%,97%,96%,94%,1.30%
MILFORD CATHOLIC ELEM,42.1438915,-71.511657,Private,MILFORD,Worcester, , , , , , , 
ASSUMPTION SCHOOL,42.191461,-71.7632199,Private,MILLBURY,Worcester, , , , , , , 
ELMWOOD ST SCHOOL,42.1875269,-71.7731881,Public,MILLBURY,Worcester,97%,99%,99%,99%,99%,97%,1.40%
CLYDE BROWN SCHOOL,42.1656531,-71.3608914,Public,MILLIS,Norfolk,88%,88%,99%,98%,97%,88%,1.00%
WOODSIDE MONTESSORI,42.1436761,-71.3663195,Private,MILLIS,Norfolk, , , , , , , 
MILLVILLE ELEMENTARY SCHOOL,42.0325342,-71.5779544,Public,MILLVILLE,Worcester,94%,91%,91%,100%,94%,88%,0%
COLLICOT,42.2537024,-71.0522475,Public,MILTON,Norfolk,99%,99%,99%,99%,99%,97%,0.90%
CUNNINGHAM,42.2473752,-71.0548722,Public,MILTON,Norfolk,100%,99%,100%,100%,100%,99%,0%
DELPHI ACADEMY,42.2469345,-71.1032901,Private,MILTON,Norfolk, , , , , , , 
GLOVER SCHOOL,42.261465,-71.075303,Public,MILTON,Norfolk,100%,98%,99%,100%,99%,94%,2.30%
MILTON ACADEMY,42.2551731,-71.0718226,Private,MILTON,Norfolk, , , , , , , 
